ERROR - 2019-12-13 18:47:12,810 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run637___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:29:47,675 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run76___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:29:47,675 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1826___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:29:47,676 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run184___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:29:47,676 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run176___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:29:47,677 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1946___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:29:47,677 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run224___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:29:47,678 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2196___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:29:47,678 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run720___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:29:47,678 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run512___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:29:47,679 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run480___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:29:47,679 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run472___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:29:47,679 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1937___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:31:54,237 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run107___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:31:54,238 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1478___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:31:54,238 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run335___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:31:54,238 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2075___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:31:54,239 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run631___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:31:54,239 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2115___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:31:54,240 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run591___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:31:54,240 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2247___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:31:54,240 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run563___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:31:54,241 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run234___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:31:54,241 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1419___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:31:54,241 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run94___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:34:01,882 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run166___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:34:01,882 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1956___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:34:01,882 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1579___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:34:01,883 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run194___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:34:01,883 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run66___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:34:01,883 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1836___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:34:01,883 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run462___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:34:01,883 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run490___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:34:01,883 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run502___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:34:01,883 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2226___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:34:01,883 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run730___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:34:01,884 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2014___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:36:07,413 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2186___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:36:07,414 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2174___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:36:07,414 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run325___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:36:07,414 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run245___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:36:07,415 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1508___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:36:07,415 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run17___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:36:07,415 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1927___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:36:07,415 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run117___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:36:07,415 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2257___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:36:07,415 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run573___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:36:07,415 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run581___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:36:07,415 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run413___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
